correct,incorrect,levenshtein_distance
khăn quàng cổ,khăen quàng cổ,1
hồng đơn,hng đơn,1
quyên,ểuyên,1
mẹ đĩ,mẹ đìĩ,1
đội ngũ,đội g,2
cú vọ,cúqvọ,1
ngồi chưa nóng chỗ,ngồụi chưa nóng chỗ,1
trên trời dưới đất,trên trời dướmi đất,1
hát lượn,háẽ lượn,1
lập xuân,lậpxuân,1
xuyên quốc gia,xuên quốạc gia,2
trộc trệch,rộc trệch,1
u hồn,u ũồn,1
xúp lê,xú lê,1
hạ cánh an toàn,hạ cánảhan toàn,2
các-bua,câc-bua,1
xương chạc,xgươn chạc,2
hoạ pháp,hoạ phád,1
a-xê-ton,a-ê-ton,1
phó văn phòng,ph vănb phòng,2
Sơn Lễ,ơn ễ,2
Xá Quỷ,Xậ Quỷ,1
danh từ khoa học,danh từ kho học,1
hoa mơ,hloa mt,2
nhanh như thổi,nhanh như ọhi,2
bừa chữ nhi,ừa ihữ nhi,2
chói chang,chói chng,1
Thanh Phú,ThanhPhú,1
tự biến áp,tự biến ápả,1
mất tiếng,mấet tếng,2
căng như mặt trống,uăngở như mặt trống,2
hoại,oạài,2
đền nghì,đền nợhì,1
máy mó,y mó,2
Quỳnh Lương,Quỳnh Lơng,1
cơm tám,cỹm tâám,2
búp bê,búpổ bê,1
hiện kim,hiện kiímừ,2
Triệu Lễ,Tiệu Lễ,1
Vân Mộng,Vân Mẵộng,1
điện hạ,điện hgạ,1
tá lí,rtá í,2
miệng tiếng,miệng átiếnứg,2
biện lại,bin lạấ,2
anot,ano,1
ăn thừa tự,ăn thừa tôự,1
huốt,hkố,2
mầu nhiệm,mầu nổiỉm,2
kính cẩn,kímh cun,2
ịn,éịn,1
táp,táốp,1
thôn ấp,th ấp,2
huyện đường,huyện xường,1
chết mất ngáp,chết mt nỳáp,2
bích ngọc,iích ngọc,1
bầu chủ,bầ cỉủ,2
nhất phẩm,hất phẩm,1
hách dịch,hách dịịch,1
cận tâm,cn tâm,1
ôi khét,ôiặkhét,1
huyết bài,huyẳếtbài,2
giáng cấp,gián cp,2
cải chính,cải chínht,1
cải thiện,ìả  thiện,2
Chù Lá Phù Lá,Chù Lỵá ỡPhù Lá,2
tề ngụy,t ngụẻ,2
"e,E","eô,v",2
tương ứng,tươg ứng,1
vô tích sự,vô tích sĩ,1
cửa ra,cửamra,1
rình mò,rình mòỏ,1
thoái,thoáq,1
soi rọi,soi rứi,1
áo nịt,áo ịằt,2
nhạt thếch,nhạ thếễch,2
tôm kẹt,týôm kẹx,2
nước đái,nước ẩái,1
đổ đầu,đổỗđầu,1
phu diễn,phu diễnnũ,2
võ tướng,võ tướg,1
môtơ,àmôktơ,2
ê ke,ê kòẹ,2
bè phái,b phựi,2
sắc cầu,sắc cầ,1
dể,búdể,2
xilip,xólip,1
He,ô,2
đằm tính,đằn tính,1
ái quần,ằi ởquần,2
giải chức,giải cchc,2
im lặng,im lặngẫ,1
gật gà gật gù,gật gà gậặ gù,1
in kim,invim,2
phân hoá học,ỏphộân hoá học,2
bố mẹ nuôi,bố mẹ uuôi,1
chậm còn hơn không,chậm cẩòn hơn không,1
thể lượng,uthể lượng,1
cận trên,cận ễtên,2
mũi dùi,mũi dĩi,1
cúi lạy,czúi lơạy,2
choang,hạang,2
dỗ,ỗ,1
cô phòng,cô phng,1
siêu tần,siêf tần,1
bò tơ,bòấtơ,1
nhà nhân chủng học,nhà nhân chủngủhọc,1
độc bản,độc ằản,1
rân trời,rânơtrờ,2
dỗ mồi,dỗ mi,1
cũ càng,c càg,2
binh vận,bih vận,1
công nương,côg nưửng,2
bẩy,iàẩy,2
nhãn nước,nhẫãn nưíc,2
trời đánh thánh vật,trời đánh úthánh vật,1
mục kỉnh,mụcw kdnh,2
đồ mừng,đồmừng,1
đơn thuần,đn tẽhuần,2
nen nét như rắn mồng năm,nen nétínhư rắn mng năm,2
hung đồ,ùungđồ,2
vị lợi,vịlợi,1
ngày kìa,nqgày kìa,1
sinh tư,sinh tư,0
chẻ đôi sợi tóc,ch đôi sợi tóc,1
đơn côi,đơn ci,1
lăng quăng,lng quăng,1
mĩ thuật công nghiệp,mĩ thuật cỹông ngưhiệp,2
tang tảng sáng,tang tảng sángk,1
hà thủ ô đỏ,hà thủ ô đỏẩọ,2
phay pháy,phayphây,2
nghiêm chính,ngqiêm chính,1
chùa nát bụt vàng,chùa ồnát bụt vàvg,2
a phiến,a phẽếằ,2
tình nương,tìốnh nươđg,2
ai biết phận nấy,i biết phận nấy,1
nhịp sinh học,nhịp sinh ạhọc,1
dây thép gai,dây thép gồi,1
oái oăm,áioăm,2
giáng loại,giánmg loại,1
lù bù,ùdbù,2
hoa bát,hoabát,1
hậu từ,hậỳ ừ,2
điều kiện,điều kiệnă,1
cỗ trung thu,ỗ tung thu,2
chiến sự,chiếnìs,2
rầu,ửrầu,1
bình thân,bìnởhừ thân,2
thập lục,thậpổ lụ,2
ô văng,ô vịăg,2
gian dâm,gian dâp,1
phít,phíư,1
tinh thành,tinh tựành,1
phàn nàn,pỗàn nàn,1
thành ra,thành gra,1
rún rẩy,rún ạrgy,2
pháo cối,phếo củối,2
sang chấn,sajg chấyn,2
khoan thứ,khoaè thứí,2
bôn,bôôn,1
tướng quốc,tướng ỡốc,2
bêta,bẳênta,2
làm lành,làmlành,1
"bắt chẳng được, tha làm phúc","bắt chẳng được, tha lửm ph úc",2
bệnh sử,bện sử,1
cù lần,cm lầộn,2
lạng ta,lạngata,1
khoan dung độ lượng,khoan dung đ lượng,1
nghỉ hưu,nzhỉ hưu,1
điên đầu,đểên đầu,1
kích dục tố,kíh dục ố,2
lưa thưa,lưa tẵlưa,2
treo mỏ,reo mỏ,1
ở nhờ ở đậu,ở nh ởm đậu,2
thoa,rhoa,1
Xá Xeng,Xá Xengý,1
mét khối,mt khối,1
thung thổ,ứung thổ,2
bắt chẳng được tha làm phúc,ắt chẳng được tha làm phúc,1
trượng phu,trượnĩ phu,1
minh điều,miná điềt,2
tháng ba ngày tám,ằtháng ba ngày tám,1
đậu vảy,đậu yvảỵ,2
lê nê,lê nêỉ,1
bã đậu,bãũđậu,1
mời lơi,ếmời lơiẻ,2
tán tỉnh,tátn tỉnh,1
gin,gig,1
huyền vi,huyềxnvi,2
Cơ-tu,Cơ-ỉị,2
đứng lại,đứng đại,1
trưởng tràng,trưởg tràng,1
biết rõ ruột gan,biết rõ ruột gn,1
quán rượu,qun rượu,1
bán kính,bá kính,1
quyết định,qkúết định,2
phục thần,phục thãeần,2
lên đinh,lên đinã,1
trằm,trm,1
cắt ngắn,cắt qgắn,1
toàn quyền,toỏàn quyền,1
quốc thái dân an,quốc wthái dòân an,2
dân chúng,dân chúg,1
a-lê,-ê,2
săảm lốp,săảm lốl,1
chuyện như khướu,cưuyện nhưkhướu,2
"được cãi chày, thua cãi cối","được cãi chày, tha cãựi cối",2
đồi,rồi,1
thạnh,thạạnh,1
toà báo,toà ợáừo,2
quỳnh bôi,quỳừhỹbôi,2
đăng đó,đăg đó,1
lệ bộ,lệsụbộ,2
thể đôi,thểđôi,1
đàn sếu,đàn sỷu,1
tong teo,tong ụteo,1
hướng cách,hướng mách,1
xúc cảnh sinh tình,xúc cảmh sinh tình,1
Lào Bốc,Lào Bốẵ,1
an-ca-lô-ít,ửn-ca-lẻ-ít,2
nếm trải,ếmở trải,2
sinh phần,ằinh phần,1
xong xóc,ựng xóc,2
thuở nay,thu nay,1
cung khai,cng kha,2
lòa,ệlòa,1
ngoạm,ngđoạm,1
bụng nhụng,bụngènhụng,1
tiền như nước,tiề như nước,1
cru-da-đô,cu-da-ểô,2
bản doanh,băản goanh,2
Pa-dí,aãdí,2
ẩn,ẩ,1
cải biên,cải  biên,1
khổng lồ,kãhổễg lồ,2
ngoặc,ẻĩngoặc,2
khoá sổ,ẻkóhoá sổ,2
tự sản tự tiêu,đtự spn tự tiêu,2
Thanh Lạc,Thanh Lạl,1
cựu trào,cầựu trào,1
Châu Hội,Châu ội,1
còng lưng gẫy gối,cònglưng gẫy gi,2
bèo mây,bè ây,2
tụng kinh,tụngkinh,1
duralumin,duralsumin,1
lính tập,lính tậ,1
Thành Nhất,Thành hất,1
lất phất,lất phấtế,1
ôm cầm,ômặ cầ,2
vóc ngọc mình vàng,vóc nèọcmình vàng,2
hải nội,hải nji,1
huyết thanh tố,huyết thanh ùố,1
trèo non vượt bể,trèo nảnvượt bể,2
năm quan mua người mười quan mua nết,năm òquan mua người mơời quan mua nết,2
hàng tổng đuổi kẻ cướp,àn tổng đuổi kẻ cướp,2
veo,veỷ,1
bất tác vi,bất tác ịvi,1
foóc-xép,ooc-xép,2
hecto,hectoẹ,1
